promotion_id,promotion_type,asin,promo_price,original_price,start,end
d81fe83c,Best Deal,B0FLQQCMYH,16.92,15.81,2026-05-24 00:00:00,2026-05-30 23:59:00
6b4f4563,Best Deal,B0D22ZQTSC,18.61,17.39,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B091Z4JQBD,15.02,15.81,2026-02-17 00:00:00,2026-03-17 23:59:00
6e217478,Best Deal,B0D22ZQTSC,17.68,16.52,2026-03-10 00:00:00,2026-03-16 23:45:00
23985214102,Coupon,B091Z4JQBD,-0.8,0.0,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B09JCNKXV5,19.85,18.55,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B00RBUM5JQ,23.65,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B00RBUM5JQ,23.65,22.1,2025-12-26 00:00:00,2026-01-08 23:45:00
2ef28cba,Best Deal,B07WH27VXM,20.32,18.99,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B08JC2YLYL,16.91,15.8,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B0BK8X47M5,15.01,15.79,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B07WH27VXM,19.12,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
2ef28cba,Best Deal,B075T9G9YS,22.02,20.58,2026-03-10 00:00:00,2026-03-16 23:45:00
c649ea21,Best Deal,B086XBB126,16.06,15.01,2026-01-26 00:00:00,2026-02-02 23:59:00
6b4f4563,Best Deal,B09C6GDG72,19.47,18.2,2025-12-26 00:00:00,2026-01-08 23:45:00
6e217478,Best Deal,B0DFCQLLSY,12.03,11.24,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B0DXFV5SYV,16.91,15.8,2025-12-26 00:00:00,2026-01-08 23:45:00
6cbcc9bf,Best Deal,B08JC9XBGM,19.89,18.59,2026-02-22 00:00:00,2026-02-28 23:59:00
2ef28cba,Best Deal,B00RBUM5JQ,23.34,21.81,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B096W3GD2S,20.32,18.99,2026-03-10 00:00:00,2026-03-16 23:45:00
6e217478,Best Deal,B0D22ZQTSC,17.68,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B01BNV0IUQ,18.62,17.4,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B0CPJG6XL8,19.46,18.19,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B07NNVS8M4,22.01,20.57,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B0BD81KP8K,16.91,15.8,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B089FZBMW9,22.01,20.57,2025-12-26 00:00:00,2026-01-08 23:45:00
1335d912,Best Deal,B0CS6HDRFW,15.22,14.22,2026-02-17 00:00:00,2026-02-28 23:59:00
6b4f4563,Best Deal,B0D637HBP1,15.21,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B07C5Q7T4D,15.12,14.13,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B072VJ9FFZ,17.76,16.6,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B0BK8X47M5,-0.8,0.0,2026-02-17 00:00:00,2026-03-17 23:59:00
5243546e,Best Deal,B08XZLYCZ5,26.26,24.54,2026-05-25 00:00:00,2026-05-31 23:59:00
c649ea21,Best Deal,B086XBB126,16.06,0.0,2026-01-26 00:00:00,2026-02-02 23:59:00
2ef28cba,Best Deal,B07WH27VXM,20.32,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B0B6WCHGMK,12.66,11.83,2025-12-26 00:00:00,2026-01-08 23:45:00
2ef28cba,Best Deal,B0BMQXCX1X,22.87,21.37,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B0C947V4GH,16.91,15.8,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B091Z4JQBD,-0.94,0.0,2026-02-17 00:00:00,2026-03-17 23:59:00
2ef28cba,Best Deal,B09C6GDG72,19.47,18.2,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B08JC2YLYL,16.91,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
5243546e,Best Deal,B08XZLYCZ5,26.26,0.0,2026-05-25 00:00:00,2026-05-31 23:59:00
8aff8531,Best Deal,B0BMQXCX1X,22.86,21.36,2026-05-24 00:00:00,2026-05-30 23:59:00
6b4f4563,Best Deal,B09C6GDG72,19.47,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
e9a6ebdb,Best Deal,B086XBB126,16.06,15.01,2026-02-22 00:00:00,2026-02-28 23:59:00
23985374402,Coupon,B0CS6HDRFW,12.8,14.22,2026-02-17 00:00:00,2026-03-19 23:59:00
d81fe83c,Best Deal,B0FLQQCMYH,16.92,0.0,2026-05-24 00:00:00,2026-05-30 23:59:00
6b4f4563,Best Deal,B09TJTTP84,16.91,15.8,2025-12-26 00:00:00,2026-01-08 23:45:00
4b90a925,Best Deal,B0FLQRB13X,25.42,23.76,2026-02-08 00:00:00,2026-02-15 23:59:00
2ef28cba,Best Deal,B096W54FGM,15.22,14.22,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B094R1JQ6K,18.62,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
6e217478,Best Deal,B0FLQQCMYH,16.91,15.8,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B08QVWRHP2,20.32,18.99,2026-03-10 00:00:00,2026-03-16 23:45:00
1335d912,Best Deal,B0CS6HDRFW,15.22,0.0,2026-02-17 00:00:00,2026-02-28 23:59:00
